sensor_id,latitude,longitude,location,pm25,pm10,no2,so2,co,aqi,temperature,humidity,wind_speed,wind_direction,event_type,risk_level,anomaly_score
S1,10.95115995265754,76.87363296552432,"10.95116, 76.87363",151.83070948843832,282.42924024055054,72.07022777838449,18.663200386077897,0.816365871709513,190.61165523600687,36.1684398102715,66.26379579546412,12.69149085768762,44.25144424753952,PM2.5 POLLUTION,CRITICAL,-0.0369776375251218
S2,10.917021028186088,76.98934743307282,"10.91702, 76.98935",159.00444173347273,258.1068586640879,98.22353561509324,14.596417099457089,0.7802220693617715,241.311815846194,38.024371552636495,84.38928999058285,13.14831038959669,319.9172688955435,PM2.5 POLLUTION,CRITICAL,-0.0969011749652349
S3,11.038704042741784,76.97578856935597,"11.0387, 76.97579",155.8349192613134,259.8031881716882,85.20761313885504,15.393175951580451,0.9838152965975536,217.73661869152065,38.24601430654559,54.99668675394425,13.916258065935695,181.11022228074108,PM2.5 POLLUTION,CRITICAL,-0.0757002430045327
S4,11.031600903007147,77.0254944027054,"11.0316, 77.02549",167.93881268786626,236.3744087245827,82.28236215451055,5.008996577339461,0.7419450911622698,199.77306984590027,34.83346492237257,58.222550294751485,7.602807866672851,161.76590713427117,PM2.5 POLLUTION,CRITICAL,-0.0543140724263064
S5,10.938691244157274,76.99701420876077,"10.93869, 76.99701",144.1248032986426,267.29042426068133,94.32635743023756,19.58163837351241,0.8534784628143807,209.76597298063857,34.09625010324585,70.13907849658915,6.145268638174805,210.9113238432669,PM10 POLLUTION,CRITICAL,-0.0380909421099762
S6,10.998997606905128,77.01069618607697,"10.999, 77.0107",147.6525195800151,234.89087182026785,95.07477783731548,16.732442379489964,0.8643395612392027,182.62997632792352,32.37010779680473,66.79581781939598,9.56858370572348,224.9221906041849,PM10 POLLUTION,HIGH,-0.0113331714929508
S7,11.022583330030184,76.90640691451425,"11.02258, 76.90641",174.7047151266625,246.5251759253755,79.96573099346814,19.99005054929826,0.6663819092713903,188.95067608556923,33.11344430466655,68.50630099273559,6.825241504689158,25.83929024154469,PM2.5 POLLUTION,CRITICAL,-0.0325660228140414
S8,10.98328012173992,76.88548790875593,"10.98328, 76.88549",177.32282565752027,288.4024161295948,90.80854172421384,0.5187231090315532,0.9984084699073046,233.58827253611025,27.795257134685865,69.89187130147664,9.813964168403029,245.74219964042487,PM2.5 POLLUTION,CRITICAL,-0.1118922260041743
S9,10.979447586753402,77.00012295032816,"10.97945, 77.00012",174.62791137432373,236.5660647368684,93.1336844755566,25.44187352390364,0.7650080486609183,180.00081443287564,26.72720446631077,71.3472146856177,11.17261621436972,87.09540491359066,PM2.5 POLLUTION,CRITICAL,-0.0512037819908367
S10,10.936277843635068,77.01136694785345,"10.93628, 77.01137",150.97239969786568,225.69266281387465,89.63952060597863,14.30205185922413,0.6488509681014311,209.1596079937605,29.9865021703562,76.09699841956223,10.94926524039778,257.02294770237233,PM2.5 POLLUTION,CRITICAL,-0.0305063238337224
