sensor_id,latitude,longitude,pm25,pm10,no2,so2,co,temperature,humidity,wind_speed,wind_direction,aqi,anomaly_prediction,status,anomaly_score
S1,10.956181017827104,76.97840632923085,74.58218210731494,85.58071673579168,34.62365297575152,14.52352233806524,0.8300837810287154,30.04141047937352,64.17319314157301,14.698404270638571,122.617499969265,79.51823204130815,1,NORMAL,0.15834856516487894
S2,11.042607145961489,76.866827992999,55.31505762449139,118.8847806456439,46.03301882016521,16.395107628851697,0.8729922004932451,24.75265507059936,63.78252491616716,3.439367713242104,25.816279985154363,93.04709744067443,1,NORMAL,0.15794847003276918
S3,11.009799091271711,76.88232574281892,65.22929456942445,112.52292969060952,36.1422764866204,18.039482548582697,1.2806831170476551,25.73954534769851,80.13449743242131,7.49312956805528,147.46640216228352,73.55160135235599,1,NORMAL,0.11667316004942418
S4,10.989798772629555,77.02971083770541,50.34599865109816,75.56111888003622,36.50301761461878,15.93304561578179,0.7884762405932829,28.77910118258133,71.30811684554777,2.546320777228269,112.0382982228217,112.42061334648945,1,NORMAL,0.15494640917275437
S5,10.923402796066366,76.97128581193192,59.86249528732663,102.48330763573064,31.36387787786144,12.76783192724736,0.8402198093429936,27.561951191362866,54.758131756707954,11.618753569970094,243.76343030460336,90.00414129836395,1,NORMAL,0.17656649525179352
S6,10.923399178050431,76.85183941032332,53.047854184484734,118.78467808429473,34.43054376278933,15.970449964491538,1.0101308792015224,29.25211478805821,83.54092566334188,13.934995178588958,218.08052980296853,89.8139935772277,1,NORMAL,0.1333320082414674
S7,10.90871254182523,76.87029430857321,56.45493947489077,58.26486797196571,38.07801768892059,20.36815874929886,1.0211051865915968,30.22659969958843,77.21033695525352,5.640485284156362,131.2537421511144,83.44210566974164,1,NORMAL,0.15396061281582102
S8,11.02992642186624,76.98270035382161,63.9273553815537,113.58400480949838,17.898316073433744,9.8674235029447,1.037406061112076,32.11877101742692,70.82097703468615,13.158441798388573,78.44131953179644,93.1038136771796,1,NORMAL,0.11834804144530525
S9,10.990167251761482,76.85101231676924,42.72668975149792,83.43440602635383,21.51814577894287,15.66484837073438,0.927746044405837,29.718004887763637,62.73515901150168,5.79883699600467,355.6929478160131,106.5019652933527,1,NORMAL,0.16011715070045102
S10,11.006210886669408,76.88216161028349,86.3858091352819,114.264966714829,42.43264094022715,11.499395925304134,0.5713990174539033,31.946006575304807,55.4056076327652,13.840012101370895,163.44058363060134,72.65739568578199,1,NORMAL,0.10586794682021022
S1,10.90308767414437,76.95974675787332,39.90973927750447,80.91852108643708,36.708654381279416,20.97523314462421,1.1266863064602193,30.25789765924048,61.27793223928947,11.80150474675819,247.7787248808853,76.83767021849486,1,NORMAL,0.15980918766896585
